Date,Open,High,Low,Close,Adj Close,Volume
2017-09-13,0.002051,0.002447,0.001711,0.001988,0.001988,48512
2017-09-14,0.002006,0.002479,0.001298,0.001427,0.001427,58770
2017-09-15,0.001419,0.001831,0.001091,0.001801,0.001801,26475
2017-09-16,0.001815,0.017671,0.001371,0.001831,0.001831,54535
2017-09-17,0.001836,0.003879,0.001781,0.003320,0.003320,124998
2017-09-18,0.003324,0.003438,0.002534,0.003263,0.003263,159158
2017-09-19,0.003273,0.023238,0.001746,0.002291,0.002291,158416
2017-09-20,0.002306,0.003199,0.002039,0.002647,0.002647,83399
2017-09-21,0.002638,0.003173,0.001935,0.002079,0.002079,99853
2017-09-22,0.002079,0.002172,0.001852,0.001951,0.001951,38829
2017-09-23,0.001934,0.002346,0.001924,0.002346,0.002346,42314
2017-09-24,0.002346,0.002427,0.002086,0.002246,0.002246,50023
2017-09-25,0.002251,0.005656,0.001465,0.001777,0.001777,106284
2017-09-26,0.001777,0.002104,0.001619,0.001738,0.001738,61508
2017-09-27,0.001736,0.003495,0.001659,0.002561,0.002561,35671
2017-09-28,0.002563,0.003474,0.001816,0.002906,0.002906,69532
2017-09-29,0.002901,0.002973,0.001487,0.001983,0.001983,58162
2017-09-30,0.001983,0.002621,0.001763,0.002261,0.002261,53734
2017-10-01,0.002261,0.002269,0.001806,0.001848,0.001848,72807
2017-10-02,0.001848,0.003177,0.001768,0.002803,0.002803,887622
2017-10-03,0.002748,0.003186,0.002128,0.002447,0.002447,822107
2017-10-04,0.002469,0.003521,0.002400,0.003250,0.003250,1072200
2017-10-05,0.003269,0.003488,0.002942,0.003320,0.003320,704167
2017-10-06,0.003321,0.003354,0.002815,0.002996,0.002996,478330
2017-10-07,0.002995,0.004173,0.002240,0.002459,0.002459,352974
2017-10-08,0.002565,0.002854,0.002326,0.002530,0.002530,239490
2017-10-09,0.002567,0.002719,0.001943,0.002181,0.002181,350960
