Date,Open,High,Low,Close,Adj Close,Volume
2019-03-02,0.140279,0.143418,0.136369,0.140663,0.140663,6879155
2019-03-03,0.140571,0.142681,0.130959,0.130959,0.130959,7868970
2019-03-04,0.131330,0.131705,0.116529,0.123305,0.123305,14757338
2019-03-05,0.124116,0.129422,0.119716,0.127450,0.127450,8683272
2019-03-06,0.127804,0.147815,0.124029,0.138636,0.138636,24319565
2019-03-07,0.138256,0.140459,0.129801,0.132255,0.132255,11227370
2019-03-08,0.133047,0.133692,0.125560,0.126109,0.126109,9319853
2019-03-09,0.126126,0.137212,0.125529,0.137212,0.137212,10987149
2019-03-10,0.139512,0.195113,0.134210,0.185440,0.185440,124772616
2019-03-11,0.185999,0.189736,0.149000,0.150983,0.150983,46636325
2019-03-12,0.151262,0.159659,0.118063,0.128475,0.128475,48527696
2019-03-13,0.128302,0.133249,0.124402,0.129237,0.129237,17192074
2019-03-14,0.128627,0.142999,0.120970,0.131400,0.131400,18242412
2019-03-15,0.131454,0.136698,0.129541,0.131056,0.131056,10001752
2019-03-16,0.130406,0.132169,0.127977,0.130417,0.130417,6825181
2019-03-17,0.130520,0.131121,0.127155,0.130726,0.130726,6487686
2019-03-18,0.131071,0.133165,0.126444,0.129203,0.129203,7902063
2019-03-19,0.129130,0.131441,0.126859,0.127840,0.127840,6840492
2019-03-20,0.127868,0.128796,0.124740,0.126524,0.126524,6158550
2019-03-21,0.127018,0.127023,0.115521,0.119015,0.119015,8217759
2019-03-22,0.119391,0.131428,0.117746,0.120780,0.120780,29837379
2019-03-23,0.120787,0.122205,0.118479,0.120291,0.120291,5943476
2019-03-24,0.119842,0.120420,0.115838,0.117231,0.117231,6396370
2019-03-25,0.117267,0.117267,0.105668,0.108315,0.108315,8402037
2019-03-26,0.108376,0.112255,0.102766,0.111337,0.111337,8287209
2019-03-27,0.109844,0.115405,0.107467,0.112424,0.112424,7297215
2019-03-28,0.112424,0.117502,0.112356,0.114188,0.114188,7364730
2019-03-29,0.114188,0.114785,0.110546,0.110921,0.110921,4619870
2019-03-30,0.110782,0.115537,0.107500,0.108768,0.108768,3289997
2019-03-31,0.108768,0.112782,0.106940,0.111869,0.111869,4416810
2019-04-01,0.111895,0.112658,0.107889,0.109195,0.109195,4904841
2019-04-02,0.109157,0.117047,0.106616,0.113649,0.113649,10337819
2019-04-03,0.113531,0.122102,0.108837,0.110702,0.110702,9797807
2019-04-04,0.110890,0.125085,0.109793,0.121751,0.121751,10298858
2019-04-05,0.121624,0.128132,0.121624,0.124488,0.124488,11257430
2019-04-06,0.124351,0.125411,0.117180,0.117782,0.117782,4549137
2019-04-07,0.117790,0.126699,0.116401,0.125265,0.125265,7072374
2019-04-08,0.125205,0.126021,0.115313,0.119613,0.119613,6603169
2019-04-09,0.119613,0.134289,0.112310,0.127356,0.127356,18175117
2019-04-10,0.127456,0.133018,0.124143,0.126035,0.126035,8938766
2019-04-11,0.126092,0.126711,0.107664,0.112510,0.112510,6412443
2019-04-12,0.112644,0.117275,0.105791,0.113675,0.113675,4221643
